fname,labels,mids,split
76923_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
76923_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_7.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_8.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_9.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
386539_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
386539_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
395105_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
398341_1.wav,"Male_speech_and_man_speaking,Stream,Splash_and_splatter,Speech,Human_voice,Water,Liquid","/m/05zppz,/m/0j6m2,/m/07rrlb6,/m/09x0r,/m/09l8g,/m/0838f,/m/04k94",val
398341_2.wav,"Male_speech_and_man_speaking,Stream,Splash_and_splatter,Speech,Human_voice,Water,Liquid","/m/05zppz,/m/0j6m2,/m/07rrlb6,/m/09x0r,/m/09l8g,/m/0838f,/m/04k94",val
193784_1.wav,"Male_speech_and_man_speaking,Stream,Trickle_and_dribble,Speech,Human_voice,Water,Pour,Liquid","/m/05zppz,/m/0j6m2,/m/07pqc89,/m/09x0r,/m/09l8g,/m/0838f,/m/07prgkl,/m/04k94",train
193784_2.wav,"Male_speech_and_man_speaking,Stream,Trickle_and_dribble,Speech,Human_voice,Water,Pour,Liquid","/m/05zppz,/m/0j6m2,/m/07pqc89,/m/09x0r,/m/09l8g,/m/0838f,/m/07prgkl,/m/04k94",train
193784_3.wav,"Male_speech_and_man_speaking,Stream,Trickle_and_dribble,Speech,Human_voice,Water,Pour,Liquid","/m/05zppz,/m/0j6m2,/m/07pqc89,/m/09x0r,/m/09l8g,/m/0838f,/m/07prgkl,/m/04k94",train
193784_4.wav,"Male_speech_and_man_speaking,Stream,Trickle_and_dribble,Speech,Human_voice,Water,Pour,Liquid","/m/05zppz,/m/0j6m2,/m/07pqc89,/m/09x0r,/m/09l8g,/m/0838f,/m/07prgkl,/m/04k94",train
34355_1.wav,"Stream,Chirp_and_tweet,Wind,Water,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal","/m/0j6m2,/m/07pggtn,/m/03m9d0z,/m/0838f,/m/020bb7,/m/015p6,/m/01280g,/m/0jbk",train
34355_2.wav,"Stream,Chirp_and_tweet,Wind,Water,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal","/m/0j6m2,/m/07pggtn,/m/03m9d0z,/m/0838f,/m/020bb7,/m/015p6,/m/01280g,/m/0jbk",train
34355_3.wav,"Stream,Chirp_and_tweet,Wind,Water,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal","/m/0j6m2,/m/07pggtn,/m/03m9d0z,/m/0838f,/m/020bb7,/m/015p6,/m/01280g,/m/0jbk",train
34355_4.wav,"Stream,Chirp_and_tweet,Wind,Water,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal","/m/0j6m2,/m/07pggtn,/m/03m9d0z,/m/0838f,/m/020bb7,/m/015p6,/m/01280g,/m/0jbk",train
207473_1.wav,"Stream,Bird,Wild_animals,Animal,Water","/m/0j6m2,/m/015p6,/m/01280g,/m/0jbk,/m/0838f",train
207473_2.wav,"Stream,Bird,Wild_animals,Animal,Water","/m/0j6m2,/m/015p6,/m/01280g,/m/0jbk,/m/0838f",train
395207_1.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395207_2.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395207_3.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395207_4.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395207_5.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395207_6.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395207_7.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395222_1.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395222_2.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395222_3.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
395222_4.wav,"Stream,Cricket,Bird,Wild_animals,Animal,Water,Insect","/m/0j6m2,/m/09xqv,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/03vt0",val
352962_1.wav,"Stream,Chirp_and_tweet,Car_passing_by,Bird,Wild_animals,Animal,Water,Bird_vocalization_and_bird_call_and_bird_song,Car,Motor_vehicle_(road),Vehicle","/m/0j6m2,/m/07pggtn,/t/dd00134,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/020bb7,/m/0k4j,/m/012f08,/m/07yv9",val
352962_2.wav,"Stream,Chirp_and_tweet,Car_passing_by,Bird,Wild_animals,Animal,Water,Bird_vocalization_and_bird_call_and_bird_song,Car,Motor_vehicle_(road),Vehicle","/m/0j6m2,/m/07pggtn,/t/dd00134,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/020bb7,/m/0k4j,/m/012f08,/m/07yv9",val
352962_3.wav,"Stream,Chirp_and_tweet,Car_passing_by,Bird,Wild_animals,Animal,Water,Bird_vocalization_and_bird_call_and_bird_song,Car,Motor_vehicle_(road),Vehicle","/m/0j6m2,/m/07pggtn,/t/dd00134,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/020bb7,/m/0k4j,/m/012f08,/m/07yv9",val
352962_4.wav,"Stream,Chirp_and_tweet,Car_passing_by,Bird,Wild_animals,Animal,Water,Bird_vocalization_and_bird_call_and_bird_song,Car,Motor_vehicle_(road),Vehicle","/m/0j6m2,/m/07pggtn,/t/dd00134,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/020bb7,/m/0k4j,/m/012f08,/m/07yv9",val
352962_5.wav,"Stream,Chirp_and_tweet,Car_passing_by,Bird,Wild_animals,Animal,Water,Bird_vocalization_and_bird_call_and_bird_song,Car,Motor_vehicle_(road),Vehicle","/m/0j6m2,/m/07pggtn,/t/dd00134,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/020bb7,/m/0k4j,/m/012f08,/m/07yv9",val
352962_6.wav,"Stream,Chirp_and_tweet,Car_passing_by,Bird,Wild_animals,Animal,Water,Bird_vocalization_and_bird_call_and_bird_song,Car,Motor_vehicle_(road),Vehicle","/m/0j6m2,/m/07pggtn,/t/dd00134,/m/015p6,/m/01280g,/m/0jbk,/m/0838f,/m/020bb7,/m/0k4j,/m/012f08,/m/07yv9",val
