fname,labels,mids,split
76923_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
76923_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
76923_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
76923_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
76923_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
76923_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
76923_7.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_7.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_8.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_9.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_10.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_11.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_12.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_13.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_14.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_15.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_16.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_17.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_18.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_19.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_20.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_21.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_22.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_23.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_24.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_25.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_26.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_27.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_28.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
66323_29.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_7.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_8.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_9.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_10.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_11.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_12.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_13.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_14.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_15.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_16.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_17.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_18.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_19.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
145228_20.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
386539_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
386539_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
386539_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
386539_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
386539_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
386539_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",train
395105_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_7.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_8.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_9.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_10.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_11.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_12.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_13.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_14.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_15.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_16.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_17.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_18.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
395105_19.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_7.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_8.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_9.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_10.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_11.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_12.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_13.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_14.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170899_15.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_1.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_2.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_3.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_4.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_5.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_6.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_7.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_8.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_9.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_10.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_11.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_12.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
170901_13.wav,"Stream,Water","/m/0j6m2,/m/0838f",val
398341_1.wav,"Male_speech_and_man_speaking,Stream,Splash_and_splatter,Speech,Human_voice,Water,Liquid","/m/05zppz,/m/0j6m2,/m/07rrlb6,/m/09x0r,/m/09l8g,/m/0838f,/m/04k94",val
398341_2.wav,"Male_speech_and_man_speaking,Stream,Splash_and_splatter,Speech,Human_voice,Water,Liquid","/m/05zppz,/m/0j6m2,/m/07rrlb6,/m/09x0r,/m/09l8g,/m/0838f,/m/04k94",val
398341_3.wav,"Male_speech_and_man_speaking,Stream,Splash_and_splatter,Speech,Human_voice,Water,Liquid","/m/05zppz,/m/0j6m2,/m/07rrlb6,/m/09x0r,/m/09l8g,/m/0838f,/m/04k94",val
398341_4.wav,"Male_speech_and_man_speaking,Stream,Splash_and_splatter,Speech,Human_voice,Water,Liquid","/m/05zppz,/m/0j6m2,/m/07rrlb6,/m/09x0r,/m/09l8g,/m/0838f,/m/04k94",val
398341_5.wav,"Male_speech_and_man_speaking,Stream,Splash_and_splatter,Speech,Human_voice,Water,Liquid","/m/05zppz,/m/0j6m2,/m/07rrlb6,/m/09x0r,/m/09l8g,/m/0838f,/m/04k94",val
398341_6.wav,"Male_speech_and_man_speaking,Stream,Splash_and_splatter,Speech,Human_voice,Water,Liquid","/m/05zppz,/m/0j6m2,/m/07rrlb6,/m/09x0r,/m/09l8g,/m/0838f,/m/04k94",val
193784_1.wav,"Male_speech_and_man_speaking,Stream,Trickle_and_dribble,Speech,Human_voice,Water,Pour,Liquid","/m/05zppz,/m/0j6m2,/m/07pqc89,/m/09x0r,/m/09l8g,/m/0838f,/m/07prgkl,/m/04k94",train
193784_2.wav,"Male_speech_and_man_speaking,Stream,Trickle_and_dribble,Speech,Human_voice,Water,Pour,Liquid","/m/05zppz,/m/0j6m2,/m/07pqc89,/m/09x0r,/m/09l8g,/m/0838f,/m/07prgkl,/m/04k94",train
193784_3.wav,"Male_speech_and_man_speaking,Stream,Trickle_and_dribble,Speech,Human_voice,Water,Pour,Liquid","/m/05zppz,/m/0j6m2,/m/07pqc89,/m/09x0r,/m/09l8g,/m/0838f,/m/07prgkl,/m/04k94",train
