AudioFileName,avgRate,minRadius,maxRadius,expRadius,volume
SDT_FluidFlow_1.wav,0.428,0.476,0.741,0.71,0.619
SDT_FluidFlow_2.wav,0.529,0.466,0.779,0.334,0.57
SDT_FluidFlow_3.wav,0.627,0.139,0.69,0.692,0.727
SDT_FluidFlow_4.wav,0.599,0.432,0.685,0.756,0.525
SDT_FluidFlow_5.wav,0.241,0.47,0.762,0.621,0.64
SDT_FluidFlow_6.wav,0.4,0.278,0.597,0.576,0.551
SDT_FluidFlow_7.wav,0.513,0.296,0.636,0.735,0.516
SDT_FluidFlow_8.wav,0.721,0.326,0.783,0.208,0.71
SDT_FluidFlow_9.wav,0.604,0.44,0.743,0.613,0.653
SDT_FluidFlow_10.wav,0.671,0.458,0.603,0.351,0.676
SDT_FluidFlow_11.wav,0.235,0.178,0.785,0.551,0.701
SDT_FluidFlow_12.wav,0.281,0.431,0.668,0.477,0.748
SDT_FluidFlow_13.wav,0.699,0.31,0.79,0.503,0.638
SDT_FluidFlow_14.wav,0.602,0.151,0.669,0.406,0.635
SDT_FluidFlow_15.wav,0.656,0.35,0.67,0.565,0.523
SDT_FluidFlow_16.wav,0.656,0.259,0.598,0.558,0.546
SDT_FluidFlow_17.wav,0.67,0.177,0.51,0.583,0.565
SDT_FluidFlow_18.wav,0.239,0.136,0.712,0.673,0.537
SDT_FluidFlow_19.wav,0.221,0.451,0.525,0.763,0.707
SDT_FluidFlow_20.wav,0.59,0.263,0.762,0.641,0.63
SDT_FluidFlow_21.wav,0.335,0.454,0.567,0.762,0.706
SDT_FluidFlow_22.wav,0.441,0.342,0.585,0.48,0.66
SDT_FluidFlow_23.wav,0.602,0.484,0.749,0.422,0.653
SDT_FluidFlow_24.wav,0.479,0.345,0.698,0.408,0.561
SDT_FluidFlow_25.wav,0.622,0.213,0.536,0.644,0.699
SDT_FluidFlow_26.wav,0.39,0.278,0.756,0.238,0.537
SDT_FluidFlow_27.wav,0.601,0.192,0.514,0.715,0.728
SDT_FluidFlow_28.wav,0.507,0.353,0.714,0.246,0.659
SDT_FluidFlow_29.wav,0.549,0.449,0.681,0.275,0.593
SDT_FluidFlow_30.wav,0.267,0.115,0.691,0.214,0.743
SDT_FluidFlow_31.wav,0.617,0.152,0.65,0.332,0.515
SDT_FluidFlow_32.wav,0.592,0.109,0.671,0.468,0.709
SDT_FluidFlow_33.wav,0.241,0.194,0.523,0.61,0.609
SDT_FluidFlow_34.wav,0.235,0.313,0.647,0.225,0.675
